POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,50 pts,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,50 pts,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5 Oct 2020 (Mon),3063,4222/-1876,106.1 (0.48%),19.74 - 19.67,Day Open > PDH,-292.55 (22706.05-22413.50),-1250.00 (341.2-391.2 = 50.00) 22700PE 10:23:00,4313.75 (364.95-192.4 = -172.55) 22700CE,,,,,
6 Oct 2020 (Tue),2488,2775/-1304,302.1 (1.35%),19.74 - 19.69,-,256.60 (22580.40-22837.00),3738.75 (274.5-124.95 = -149.55) 22600PE,-1250.00 (259.3-309.3 = 50.00) 22600CE 10:45:00,,,,,
7 Oct 2020 (Wed),-131,1149/-1532,-16.75 (-0.07%),20.1 - 20.11,-,-19.25 (22957.75-22938.50),-1250.00 (236.05-286.05 = 50.00) 23000PE 11:01:00,1118.75 (208.7-163.95 = -44.75) 23000CE,,,,,
8 Oct 2020 (Thu),-2499,2295/-2499,185.45 (0.81%),20.32 - 20.4,Day Open > PDH,-99.65 (23262.40-23162.75),-1250.00 (144.9-194.9 = 50.00) 23300PE 14:35:00,-1250.00 (94.45-144.45 = 50.00) 23300CE 13:27:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
9 Oct 2020 (Fri),4458,4982/-917,121.25 (0.52%),20.86 - 20.38,-,560.80 (23264.70-23825.50),5708.75 (424.5-196.15 = -228.35) 23300PE,-1250.00 (382.15-432.15 = 50.00) 23300CE 10:10:00,,,,,
12 Oct 2020 (Mon),3081,4053/-1416,108.8 (0.46%),21.56 - 21.17,Day Open > PDH,-332.70 (24041.60-23708.90),-1250.00 (346.75-396.75 = 50.00) 24000PE 10:02:00,4331.25 (421-247.75 = -173.25) 24000CE,,,,,
13 Oct 2020 (Tue),-184,1465/-1514,-49.75 (-0.21%),21.37 - 20.74,-,-26.50 (23536.95-23510.45),1065.00 (310.3-267.7 = -42.60) 23500PE,-1250.00 (366-416 = 50.00) 23500CE 10:23:00,,,,,
14 Oct 2020 (Wed),-2500,1352/-2500,-139.05 (-0.59%),20.85 - 20.32,Day Open < PDL,399.35 (23266.05-23665.40),-1250.00 (263.2-313.2 = 50.00) 23300PE 11:30:00,-1250.00 (255.55-305.55 = 50.00) 23300CE 14:20:00,,,,,
15 Oct 2020 (Thu),2208,2211/-284,45.7 (0.19%),20.38 - 21.98,-,-772.15 (23999.10-23226.95),-1250.00 (111.65-161.65 = 50.00) 24000PE 10:24:00,3458.75 (139.05-0.7 = -138.35) 24000CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
16 Oct 2020 (Fri),2952,3555/-904,147.45 (0.64%),22.28 - 21.72,-,325.55 (23224.55-23550.10),4202.50 (417.2-249.1 = -168.10) 23200PE,-1250.00 (476.15-526.15 = 50.00) 23200CE 10:48:00,,,,,
19 Oct 2020 (Mon),2426,2717/-2160,369.65 (1.57%),21.99 - 21.85,Day Open > PDH,221.50 (24069.85-24291.35),3676.25 (379.7-232.65 = -147.05) 24100PE,-1250.00 (349.75-399.75 = 50.00) 24100CE 10:03:00,,,,,
20 Oct 2020 (Tue),1013,1986/-103,-149.4 (-0.62%),22.26 - 22.65,-,148.20 (24150.00-24298.20),2263.75 (301.15-210.6 = -90.55) 24100PE,-1250.00 (361.8-411.8 = 50.00) 24100CE 10:44:00,,,,,
21 Oct 2020 (Wed),2356,4653/-280,132.4 (0.54%),22.6 - 23.16,Day Open > PDH,-249.85 (24738.90-24489.05),-1250.00 (229.5-279.5 = 50.00) 24700PE 13:16:00,3606.25 (277.25-133 = -144.25) 24700CE,,,,,
22 Oct 2020 (Thu),-2500,1093/-2500,-187.7 (-0.76%),23.48 - 22.85,-,-93.65 (24524.20-24430.55),-1250.00 (165.95-215.95 = 50.00) 24500PE 12:40:00,-1250.00 (204.45-254.45 = 50.00) 24500CE 11:01:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
23 Oct 2020 (Fri),332,1982/-721,185.05 (0.76%),22.46 - 21.91,-,-73.80 (24596.60-24522.80),-1250.00 (413.45-463.45 = 50.00) 24600PE 10:34:00,1582.50 (467.3-404 = -63.30) 24600CE,,,,,
26 Oct 2020 (Mon),3198,4211/-134,47.5 (0.19%),22.78 - 22.95,-,-430.55 (24459.80-24029.25),-1250.00 (403.05-453.05 = 50.00) 24500PE 11:35:00,4448.75 (373.4-195.45 = -177.95) 24500CE,,,,,
27 Oct 2020 (Tue),3997,4178/-600,212.6 (0.88%),23 - 22.24,-,494.90 (24244.95-24739.85),5247.50 (328.7-118.8 = -209.90) 24200PE,-1250.00 (352.6-402.6 = 50.00) 24200CE 10:30:00,,,,,
