POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,30 %,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12 Oct 2020 (Mon),1730,2703/-2041,108.8 (0.46%),21.56 - 21.17,Day Open > PDH,-332.70 (24041.60-23708.90),-2600.75 (346.75-450.78 = 104.03) 24000PE 10:26:00,4331.25 (421-247.75 = -173.25) 24000CE,,,,,
13 Oct 2020 (Tue),-1680,328/-3009,-49.75 (-0.21%),21.37 - 20.74,-,-26.50 (23536.95-23510.45),1065.00 (310.3-267.7 = -42.60) 23500PE,-2745.00 (366-475.8 = 109.80) 23500CE 10:40:00,,,,,
14 Oct 2020 (Wed),2985,3392/0,-139.05 (-0.59%),20.85 - 20.32,Day Open < PDL,399.35 (23266.05-23665.40),4902.50 (263.2-67.1 = -196.10) 23300PE,-1916.75 (255.55-332.22 = 76.67) 23300CE 14:20:00,,,,,
15 Oct 2020 (Thu),2621,2624/-430,45.7 (0.19%),20.38 - 21.98,-,-772.15 (23999.10-23226.95),-837.50 (111.65-145.15 = 33.50) 24000PE 10:23:00,3458.75 (139.05-0.7 = -138.35) 24000CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
16 Oct 2020 (Fri),631,1234/-1267,147.45 (0.64%),22.28 - 21.72,-,325.55 (23224.55-23550.10),4202.50 (417.2-249.1 = -168.10) 23200PE,-3571.25 (476.15-619 = 142.85) 23200CE 12:02:00,,,,,
19 Oct 2020 (Mon),1052,1344/-1741,369.65 (1.57%),21.99 - 21.85,Day Open > PDH,221.50 (24069.85-24291.35),3676.25 (379.7-232.65 = -147.05) 24100PE,-2623.25 (349.75-454.68 = 104.93) 24100CE 13:16:00,,,,,
20 Oct 2020 (Tue),-449,698/-1461,-149.4 (-0.62%),22.26 - 22.65,-,148.20 (24150.00-24298.20),2263.75 (301.15-210.6 = -90.55) 24100PE,-2713.50 (361.8-470.34 = 108.54) 24100CE 11:13:00,,,,,
21 Oct 2020 (Wed),1884,4182/-23,132.4 (0.54%),22.6 - 23.16,Day Open > PDH,-249.85 (24738.90-24489.05),-1721.25 (229.5-298.35 = 68.85) 24700PE 13:20:00,3606.25 (277.25-133 = -144.25) 24700CE,,,,,
22 Oct 2020 (Thu),-2777,1100/-2777,-187.7 (-0.76%),23.48 - 22.85,-,-93.65 (24524.20-24430.55),-1244.50 (165.95-215.73 = 49.78) 24500PE 12:40:00,-1533.25 (204.45-265.78 = 61.33) 24500CE 11:03:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
23 Oct 2020 (Fri),-1518,764/-2572,185.05 (0.76%),22.46 - 21.91,-,-73.80 (24596.60-24522.80),-3101.00 (413.45-537.49 = 124.04) 24600PE 11:46:00,1582.50 (467.3-404 = -63.30) 24600CE,,,,,
26 Oct 2020 (Mon),1425,2438/-916,47.5 (0.19%),22.78 - 22.95,-,-430.55 (24459.80-24029.25),-3023.00 (403.05-523.97 = 120.92) 24500PE 11:45:00,4448.75 (373.4-195.45 = -177.95) 24500CE,,,,,
27 Oct 2020 (Tue),2603,2784/-671,212.6 (0.88%),23 - 22.24,-,494.90 (24244.95-24739.85),5247.50 (328.7-118.8 = -209.90) 24200PE,-2644.50 (352.6-458.38 = 105.78) 24200CE 11:46:00,,,,,
28 Oct 2020 (Wed),3373,3571/0,-31.65 (-0.13%),22.71 - 23.11,-,-356.75 (24549.80-24193.05),-1994.75 (265.95-345.74 = 79.79) 24500PE 12:30:00,5368.75 (304.75-90 = -214.75) 24500CE,,,,,
